time,open,high,low,close,Volume
1709762400,0.887005,0.88782,0.8868,0.8868,NaN
1709766000,0.8868,0.88736,0.8868,0.88727,NaN
1709769600,0.88727,0.88843,0.887235,0.88825,NaN
1709773200,0.88825,0.888615,0.887845,0.88787,NaN
1709776800,0.88787,0.88883,0.887655,0.888585,NaN
1709780400,0.888585,0.88944,0.888255,0.8892,NaN
1709784000,0.8892,0.8897,0.889145,0.889375,NaN
1709787600,0.889375,0.889385,0.888465,0.888465,NaN
1709791200,0.888465,0.889755,0.888405,0.88975,NaN
1709794800,0.88975,0.890105,0.88928,0.890055,NaN
1709798400,0.890055,0.89077,0.8895,0.890755,NaN
1709802000,0.890755,0.89105,0.89017,0.891015,NaN
1709805600,0.891015,0.891985,0.891015,0.89193,NaN
1709809200,0.89193,0.891985,0.891425,0.8915,NaN
1709812800,0.8915,0.891775,0.891035,0.891115,NaN
1709816400,0.891115,0.892535,0.890985,0.891285,NaN
1709820000,0.891285,0.892295,0.89083,0.89156,NaN
1709823600,0.89156,0.89195,0.89054,0.891815,NaN
1709827200,0.891815,0.8919,0.89107,0.8912,NaN
1709830800,0.8912,0.89162,0.89107,0.89133,NaN
1709834400,0.89133,0.891435,0.89089,0.89102,NaN
1709838000,0.89102,0.89121,0.89086,0.891035,NaN
1709841600,0.891035,0.891095,0.89069,0.890775,NaN
1709845200,0.890775,0.8911,0.89073,0.89096,NaN
1709848800,0.89096,0.891335,0.890435,0.89045,NaN
1709852400,0.89045,0.89082,0.89042,0.89079,NaN
1709856000,0.89079,0.89151,0.89061,0.891065,NaN
1709859600,0.891065,0.89127,0.8901,0.89039,NaN
1709863200,0.89039,0.89091,0.889835,0.890685,NaN
1709866800,0.890685,0.891295,0.89057,0.89127,NaN
1709870400,0.89127,0.8915,0.890855,0.891035,NaN
1709874000,0.891035,0.89193,0.89101,0.891905,NaN
1709877600,0.891905,0.892025,0.89127,0.89189,NaN
1709881200,0.89189,0.892135,0.891,0.892085,NaN
1709884800,0.892085,0.892115,0.89133,0.8915,NaN
1709888400,0.8915,0.892805,0.89145,0.89279,NaN
1709892000,0.89279,0.89361,0.89266,0.893575,NaN
1709895600,0.893575,0.894045,0.893335,0.894035,NaN
1709899200,0.894035,0.894035,0.892935,0.89297,NaN
1709902800,0.89297,0.89503,0.891905,0.893535,NaN
1709906400,0.893535,0.8945,0.893295,0.893945,NaN
1709910000,0.893945,0.89436,0.89311,0.89332,NaN
1709913600,0.89332,0.893345,0.892185,0.89249,NaN
