time,open,high,low,close,Volume
1697058000,0.64139,0.64311,0.63073,0.63141,NaN
1697144400,0.63141,0.63346,0.62864,0.62959,NaN
1697403600,0.62959,0.6345,0.62959,0.63426,NaN
1697490000,0.63426,0.63799,0.6335,0.63652,NaN
1697576400,0.63652,0.63934,0.63282,0.63365,NaN
1697662800,0.63365,0.63568,0.6296,0.63293,NaN
1697749200,0.63293,0.63325,0.62973,0.63128,NaN
1698008400,0.62973,0.6349,0.6289,0.63365,NaN
1698094800,0.63365,0.63792,0.63323,0.63548,NaN
1698181200,0.63548,0.63999,0.63053,0.63087,NaN
1698267600,0.63087,0.63308,0.62704,0.63217,NaN
1698354000,0.63217,0.63681,0.63199,0.63342,NaN
1698613200,0.63342,0.63839,0.63325,0.63742,NaN
1698699600,0.63742,0.63765,0.63147,0.63371,NaN
1698786000,0.63371,0.63996,0.63182,0.63934,NaN
1698872400,0.63934,0.64561,0.63895,0.64342,NaN
1698958800,0.64342,0.65185,0.64199,0.65185,NaN
1699221600,0.65185,0.65228,0.64852,0.64891,NaN
1699308000,0.64891,0.6502,0.64039,0.64365,NaN
1699394400,0.64365,0.64496,0.63974,0.64023,NaN
1699480800,0.64023,0.64285,0.63635,0.63665,NaN
1699567200,0.63665,0.63717,0.63387,0.63609,NaN
1699826400,0.63609,0.63916,0.63522,0.6377,NaN
1699912800,0.6377,0.65125,0.63552,0.65072,NaN
1699999200,0.65072,0.65427,0.64834,0.65086,NaN
1700085600,0.65086,0.65171,0.64607,0.64701,NaN
1700172000,0.64701,0.65162,0.64526,0.65158,NaN
1700431200,0.65159,0.65651,0.6501,0.65564,NaN
1700517600,0.65564,0.65896,0.65444,0.65558,NaN
1700604000,0.65558,0.65699,0.65213,0.65427,NaN
1700690400,0.65427,0.65749,0.65391,0.65575,NaN
1700776800,0.65575,0.6591,0.655,0.65867,NaN
1701036000,0.65867,0.66143,0.6567,0.66067,NaN
1701122400,0.66067,0.66659,0.65966,0.66488,NaN
1701208800,0.66488,0.66765,0.66059,0.66172,NaN
1701295200,0.66172,0.66505,0.65711,0.66054,NaN
1701381600,0.66054,0.66762,0.65996,0.66762,NaN
1701640800,0.66745,0.66908,0.66049,0.66196,NaN
1701727200,0.66196,0.66227,0.65444,0.65518,NaN
1701813600,0.65518,0.65974,0.65476,0.65488,NaN
1701900000,0.65488,0.66202,0.65256,0.66023,NaN
1701986400,0.66023,0.66197,0.65583,0.65784,NaN
1702245600,0.65784,0.65833,0.655,0.65679,NaN
1702332000,0.65679,0.66122,0.65398,0.65595,NaN
1702418400,0.65595,0.66733,0.65417,0.6662,NaN
1702504800,0.6662,0.67286,0.66566,0.66995,NaN
1702591200,0.66995,0.67286,0.66633,0.67024,NaN
1702850400,0.67024,0.67355,0.66904,0.67066,NaN
1702936800,0.67066,0.67749,0.67007,0.67627,NaN
1703023200,0.67627,0.67792,0.67242,0.67302,NaN
1703109600,0.67302,0.68039,0.67256,0.68023,NaN
1703196000,0.68023,0.6825,0.67734,0.68005,NaN
1703541600,0.68005,0.6827,0.67925,0.68247,NaN
1703628000,0.68247,0.68518,0.68181,0.6847,NaN
1703714400,0.6847,0.68712,0.68243,0.68297,NaN
1703800800,0.68297,0.68465,0.67812,0.68106,NaN
1704146400,0.68106,0.68392,0.67572,0.67611,NaN
1704232800,0.67611,0.67708,0.67022,0.67317,NaN
1704319200,0.67317,0.676,0.66967,0.67068,NaN
1704405600,0.67068,0.67483,0.66406,0.67147,NaN
1704664800,0.67147,0.67348,0.66775,0.672,NaN
