time,open,high,low,close,Volume
1697058000,158.414,158.614,157.648,157.718,NaN
1697144400,157.718,158.051,157.05,157.191,NaN
1697403600,157.191,157.988,157.049,157.9,NaN
1697490000,157.9,158.624,157.17,158.455,NaN
1697576400,158.455,158.546,157.69,157.974,NaN
1697662800,157.974,158.933,157.685,158.524,NaN
1697749200,158.524,158.931,158.343,158.931,NaN
1698008400,158.931,159.779,158.507,159.73,NaN
1698094800,159.73,159.92,158.538,158.769,NaN
1698181200,158.769,158.942,158.408,158.74,NaN
1698267600,158.74,158.907,158.017,158.859,NaN
1698354000,158.859,158.892,157.885,158.128,NaN
1698613200,158.128,158.928,157.699,158.249,NaN
1698699600,158.249,160.854,158.19,160.437,NaN
1698786000,160.437,160.447,159.069,159.573,NaN
1698872400,159.573,160.085,159.072,159.83,NaN
1698958800,159.83,160.403,159.6,160.403,NaN
1699221600,160.403,160.984,160.174,160.843,NaN
1699308000,160.843,161.032,160.431,160.915,NaN
1699394400,160.915,161.733,160.701,161.683,NaN
1699480800,161.683,161.799,161.368,161.463,NaN
1699567200,161.463,161.947,161.356,161.925,NaN
1699826400,161.925,162.367,161.541,162.313,NaN
1699912800,162.313,163.818,162.213,163.594,NaN
1699999200,163.594,164.222,163.071,164.219,NaN
1700085600,164.219,164.308,163.257,163.568,NaN
1700172000,163.568,163.609,162.155,163.324,NaN
1700431200,163.324,163.563,161.782,162.322,NaN
1700517600,162.322,162.428,161.249,161.911,NaN
1700604000,161.911,162.943,161.602,162.846,NaN
1700690400,162.846,163.195,162.44,163.113,NaN
1700776800,163.113,163.654,162.727,163.512,NaN
1701036000,163.512,163.724,162.54,162.875,NaN
1701122400,162.875,162.929,161.926,162.135,NaN
1701208800,162.135,162.255,161.495,161.518,NaN
1701295200,161.518,161.945,160.594,161.368,NaN
1701381600,161.368,161.778,159.647,159.755,NaN
1701640800,159.755,159.846,158.711,159.524,NaN
1701727200,159.524,159.722,158.579,158.876,NaN
1701813600,158.876,159.122,158.382,158.575,NaN
1701900000,158.575,158.589,153.16,155.569,NaN
1701986400,155.569,156.095,153.871,156.018,NaN
1702245600,156.018,157.686,155.912,157.34,NaN
1702332000,157.34,157.353,156.5,157.008,NaN
1702418400,157.008,157.484,155.382,155.392,NaN
1702504800,155.392,156.064,153.859,155.973,NaN
1702591200,155.973,156.494,154.404,154.879,NaN
1702850400,154.879,156.309,154.835,155.979,NaN
1702936800,155.979,158.572,155.389,157.949,NaN
1703023200,157.949,158.128,156.789,157.083,NaN
1703109600,157.083,157.135,156.134,156.466,NaN
1703196000,156.466,156.991,156.133,156.849,NaN
1703541600,156.849,157.369,156.585,157.231,NaN
1703628000,157.231,158.39,157.153,157.508,NaN
1703714400,157.508,157.51,155.836,156.455,NaN
1703800800,156.455,156.952,155.64,155.668,NaN
1704146400,155.668,156.342,155.073,155.36,NaN
1704232800,155.36,156.789,155.327,156.503,NaN
1704319200,156.503,158.592,156.075,158.306,NaN
1704405600,158.306,158.999,158.049,158.263,NaN
1704664800,158.263,158.488,157.686,157.928,NaN
1704751200,157.928,158.017,157.208,157.935,NaN
1704837600,157.935,159.961,157.767,159.943,NaN
1704924000,159.943,160.185,159.385,159.414,NaN
1705010400,159.414,159.573,158.544,158.698,NaN
1705269600,158.698,159.836,158.639,159.615,NaN
1705356000,159.615,160.147,159.243,160.065,NaN
1705442400,160.065,161.298,159.983,161.239,NaN
1705528800,161.239,161.389,160.647,161.13,NaN
1705615200,161.13,161.87,160.814,161.468,NaN
1705874400,161.468,161.577,160.757,161.198,NaN
1705960800,161.198,161.719,160.423,161.023,NaN
1706047200,161.023,161.079,159.981,160.572,NaN
1706133600,160.572,160.973,159.7,160.148,NaN
1706220000,160.148,160.928,159.832,160.793,NaN
1706479200,160.793,160.841,159.421,159.805,NaN
1706565600,159.805,160.34,159.219,160.091,NaN
1706652000,160.091,160.272,158.568,158.948,NaN
1706738400,158.948,159.207,158.082,159.205,NaN
1706824800,159.205,160.263,159.049,160.082,NaN
1707084000,160.082,160.277,159.385,159.721,NaN
1707170400,159.721,159.871,158.966,159.105,NaN
1707256800,159.105,159.736,158.913,159.615,NaN
1707343200,159.615,160.995,159.467,160.931,NaN
1707429600,160.931,161.265,160.772,160.997,NaN
1707688800,160.997,161.102,160.383,160.884,NaN
1707775200,160.884,161.634,160.786,161.477,NaN
1707861600,161.477,161.59,160.956,161.558,NaN
1707948000,161.558,161.649,160.916,161.513,NaN
1708034400,161.513,161.9545,161.4425,161.877,NaN
1708293600,161.877,161.932,161.4785,161.8385,NaN
1708380000,161.8385,162.3645,161.7335,162.125,NaN
1708466400,162.125,162.6375,161.9465,162.634,NaN
