time,open,high,low,close,Volume
1709762400,162.812,162.8155,162.7175,162.7535,NaN
1709766000,162.7535,162.768,162.636,162.6905,NaN
1709769600,162.6905,162.6905,162.3295,162.3465,NaN
1709773200,162.3465,162.4015,161.917,161.963,NaN
1709776800,161.963,162.125,161.9495,162.1205,NaN
1709780400,162.1205,162.1305,161.979,162.059,NaN
1709784000,162.059,162.062,161.83,161.976,NaN
1709787600,161.976,162.075,161.9295,162.0225,NaN
1709791200,162.0225,162.0625,161.453,161.5605,NaN
1709794800,161.5605,161.5675,161.1565,161.164,NaN
1709798400,161.164,161.3285,160.9965,161.2135,NaN
1709802000,161.2135,161.451,161.0615,161.327,NaN
1709805600,161.327,161.3275,161.0725,161.1285,NaN
1709809200,161.1285,161.167,160.994,161.058,NaN
1709812800,161.058,161.1775,160.9365,161.055,NaN
1709816400,161.055,161.126,160.556,160.6595,NaN
1709820000,160.6595,161.731,160.6235,161.6815,NaN
1709823600,161.6815,161.9575,161.659,161.9165,NaN
1709827200,161.9165,162.02,161.7545,162.017,NaN
1709830800,162.017,162.131,161.9315,161.988,NaN
1709834400,161.988,162.0915,161.9495,162.067,NaN
1709838000,162.067,162.0955,162.0185,162.0195,NaN
1709841600,162.0195,162.14,161.989,162.106,NaN
1709845200,162.106,162.108,162.0195,162.0785,NaN
1709848800,162.0785,162.0855,161.8995,161.9355,NaN
1709852400,161.9355,161.991,161.8575,161.9285,NaN
1709856000,161.9285,161.9615,161.6225,161.8065,NaN
1709859600,161.8065,162.176,161.714,162.006,NaN
1709863200,162.006,162.113,161.916,161.961,NaN
1709866800,161.961,162.047,161.8115,161.8215,NaN
1709870400,161.8215,161.887,161.8035,161.837,NaN
1709874000,161.837,161.8815,161.7705,161.7955,NaN
1709877600,161.7955,162.001,161.7945,161.8775,NaN
1709881200,161.8775,162.0265,161.5905,161.6895,NaN
1709884800,161.6895,161.783,161.619,161.65,NaN
1709888400,161.65,161.6565,160.6215,160.896,NaN
1709892000,160.896,160.9725,160.7065,160.8305,NaN
1709895600,160.8305,160.854,160.697,160.848,NaN
1709899200,160.848,160.945,160.7945,160.944,NaN
1709902800,160.944,161.135,160.6735,161.046,NaN
1709906400,161.046,161.098,160.7695,160.965,NaN
1709910000,160.965,161.204,160.9185,161.1595,NaN
1709913600,161.1595,161.2315,161.015,161.0175,NaN
1709917200,161.0175,161.063,160.839,160.841,NaN
1709920800,160.841,160.9145,160.728,160.854,NaN
1709924400,160.854,160.94,160.8455,160.8965,NaN
1709928000,160.8965,160.9285,160.812,160.832,NaN
1709931600,160.832,160.9205,160.823,160.872,NaN
1710104400,160.872,160.9805,160.841,160.895,NaN
1710108000,160.895,160.933,160.7725,160.8365,NaN
1710111600,160.8365,160.8395,160.543,160.6415,NaN
1710115200,160.6415,160.7405,160.552,160.5955,NaN
1710118800,160.5955,160.715,160.3755,160.6925,NaN
1710122400,160.6925,160.907,160.6815,160.88,NaN
1710126000,160.88,160.8855,160.7555,160.7695,NaN
1710129600,160.7695,160.848,160.66,160.696,NaN
1710133200,160.696,160.909,160.6805,160.8135,NaN
1710136800,160.8135,160.9035,160.695,160.765,NaN
1710140400,160.765,160.884,160.576,160.576,NaN
1710144000,160.576,160.719,160.4665,160.577,NaN
1710147600,160.577,160.5895,160.2155,160.3175,NaN
1710151200,160.3175,160.4995,160.273,160.481,NaN
1710154800,160.481,160.5445,160.4405,160.472,NaN
1710158400,160.472,160.6535,160.4225,160.475,NaN
1710162000,160.475,160.514,160.3785,160.4825,NaN
1710165600,160.4825,160.6815,160.4695,160.5805,NaN
1710169200,160.5805,160.6185,160.3225,160.479,NaN
1710172800,160.479,160.572,160.424,160.49,NaN
1710176400,160.49,160.545,160.3595,160.518,NaN
1710180000,160.518,160.616,160.502,160.53,NaN
1710183600,160.53,160.5895,160.5115,160.58,NaN
1710187200,160.58,160.5935,160.5325,160.5575,NaN
1710190800,160.5575,160.615,160.53,160.592,NaN
1710194400,160.592,160.592,160.499,160.548,NaN
1710198000,160.548,160.55,160.336,160.3925,NaN
1710201600,160.3925,160.5425,160.2815,160.511,NaN
1710205200,160.511,160.688,160.511,160.66,NaN
1710208800,160.66,161.2215,160.65,161.2215,NaN
1710212400,161.2215,161.249,161.122,161.1945,NaN
1710216000,161.1945,161.239,161.1455,161.195,NaN
1710219600,161.195,161.4395,161.1705,161.368,NaN
1710223200,161.368,161.4105,161.027,161.228,NaN
1710226800,161.228,161.256,161.0085,161.0675,NaN
1710230400,161.0675,161.2405,160.875,160.954,NaN
1710234000,160.954,161.142,160.9325,161.1395,NaN
1710237600,161.1395,161.2555,161.0655,161.0905,NaN
1710241200,161.0905,161.2415,161.0895,161.2015,NaN
1710244800,161.2015,161.59,160.9405,161.238,NaN
1710248400,161.238,161.496,161.177,161.2715,NaN
1710252000,161.2715,161.494,161.2225,161.4645,NaN
1710255600,161.4645,161.467,161.2365,161.254,NaN
1710259200,161.254,161.351,161.1915,161.2575,NaN
1710262800,161.2575,161.3825,161.2205,161.376,NaN
1710266400,161.376,161.383,161.232,161.3395,NaN
1710270000,161.3395,161.3575,161.2925,161.352,NaN
