time,open,high,low,close,Volume
1684360800,1981.74,1986.09,1952.01,1957.55,NaN
1684447200,1957.55,1984.26,1954.12,1978.01,NaN
1684706400,1984.26,1984.26,1968.97,1971.84,NaN
1684792800,1971.84,1977.72,1954.31,1975.24,NaN
1684879200,1975.24,1985.33,1956.79,1957.34,NaN
1684965600,1957.34,1964.79,1938.9,1941.16,NaN
1685052000,1941.16,1957.36,1936.85,1957.36,NaN
1685311200,1946.59,1949.8,1940.34,1943.21,NaN
1685397600,1943.21,1963.57,1932.14,1959.47,NaN
1685484000,1959.47,1974.82,1953.68,1962.74,NaN
1685570400,1962.74,1983.15,1953.44,1977.62,NaN
1685656800,1977.62,1983.49,1947.71,1948.01,NaN
1685916000,1948.01,1964.09,1938.2,1961.81,NaN
1686002400,1961.81,1966.36,1954.44,1963.49,NaN
1686088800,1963.49,1970.25,1939.94,1940.06,NaN
1686175200,1940.06,1970.5,1939.8,1965.54,NaN
1686261600,1965.54,1973.1,1956.68,1961.27,NaN
1686520800,1961.27,1967.02,1949.3,1957.68,NaN
1686607200,1957.68,1971.04,1940.09,1943.81,NaN
1686693600,1943.81,1960.3,1939.8,1942.17,NaN
1686780000,1942.17,1960.3,1925.07,1958.03,NaN
1686866400,1958.03,1967.95,1953.32,1957.98,NaN
1687125600,1957.98,1958.77,1947.88,1950.47,NaN
1687212000,1950.47,1956.84,1929.84,1936.43,NaN
1687298400,1936.43,1939.54,1919.18,1932.82,NaN
1687384800,1932.82,1935.02,1912.49,1913.96,NaN
1687471200,1913.96,1937.45,1910.2,1921.23,NaN
1687730400,1921.23,1933.38,1921.23,1923.31,NaN
1687816800,1923.31,1930.72,1911.04,1913.67,NaN
1687903200,1913.67,1917.29,1902.88,1907.46,NaN
1687989600,1907.46,1913.14,1893.06,1908.15,NaN
1688076000,1908.15,1922.81,1900.62,1919.9,NaN
1688335200,1919.9,1930.99,1910.17,1921.68,NaN
1688421600,1921.68,1930.76,1920.02,1925.99,NaN
1688508000,1925.99,1935.08,1914.86,1915.31,NaN
1688594400,1915.31,1927.67,1902.72,1911,NaN
1688680800,1911,1934.96,1909.66,1934.96,NaN
1688940000,1925.35,1928.28,1912.72,1925.35,NaN
1689026400,1925.35,1938.52,1924.44,1932.21,NaN
1689112800,1932.21,1959.73,1932.21,1957.21,NaN
1689199200,1957.21,1963.68,1952.48,1960.55,NaN
1689285600,1960.55,1963.77,1951.05,1955.19,NaN
1689544800,1955.19,1959.9,1945.86,1955.06,NaN
1689631200,1955.06,1984.42,1954.62,1978.77,NaN
1689717600,1978.77,1980.96,1969.81,1976.59,NaN
1689804000,1976.59,1987.53,1965.43,1969.6,NaN
1689890400,1969.6,1973.85,1956.9,1956.92,NaN
1690149600,1956.92,1967.91,1953.47,1954.76,NaN
1690236000,1954.76,1965.71,1952,1964.91,NaN
1690322400,1964.91,1978.37,1962.1,1972.09,NaN
1690408800,1972.09,1982.19,1942.67,1945.8,NaN
1690495200,1945.8,1963.55,1945.53,1959.35,NaN
1690754400,1959.35,1972.44,1951.31,1965.16,NaN
1690840800,1965.16,1966.06,1941.3,1944.37,NaN
1690927200,1944.37,1954.86,1933.16,1934.76,NaN
1691013600,1934.76,1938.94,1929.63,1934.1,NaN
1691100000,1934.1,1946.92,1925.84,1942.86,NaN
1691359200,1942.86,1946.77,1931.55,1936.49,NaN
1691445600,1936.49,1938.15,1922.8,1925.28,NaN
1691532000,1925.28,1932.39,1914.12,1914.35,NaN
1691618400,1914.35,1930.19,1912.23,1912.58,NaN
1691704800,1912.58,1920.98,1910.93,1913.78,NaN
1691964000,1913.78,1916.28,1902.77,1907.38,NaN
1692050400,1907.38,1911.65,1896.5,1901.83,NaN
1692136800,1901.83,1907.25,1891.64,1891.75,NaN
1692223200,1891.75,1903.53,1885.11,1889.42,NaN
1692309600,1889.42,1896.89,1886.81,1886.85,NaN
1692568800,1886.85,1898.82,1884.89,1894.91,NaN
1692655200,1894.91,1904.51,1889.2,1897.5,NaN
1692741600,1897.5,1920.41,1897.39,1915.28,NaN
1692828000,1915.28,1923.38,1911.84,1916.88,NaN
1692914400,1916.88,1922.42,1903.85,1915.22,NaN
1693173600,1915.22,1926.1,1912.86,1920.26,NaN
1693260000,1920.26,1938.24,1914.51,1937.55,NaN
1693346400,1937.55,1949.07,1935.05,1942.32,NaN
1693432800,1942.32,1947.94,1939.1,1940.16,NaN
1693519200,1940.16,1953.01,1934.46,1939.89,NaN
1693778400,1939.89,1946.32,1936.79,1938.48,NaN
