time,open,high,low,close,Volume
1709762400,190.183,190.321,190.0945,190.1035,NaN
1709766000,190.1035,190.142,189.9645,190.107,NaN
1709769600,190.107,190.107,189.633,189.6715,NaN
1709773200,189.6715,189.734,189.145,189.199,NaN
1709776800,189.199,189.3815,189.1765,189.368,NaN
1709780400,189.368,189.3835,189.224,189.31,NaN
1709784000,189.31,189.3155,189.0555,189.25,NaN
1709787600,189.25,189.3275,189.16,189.272,NaN
1709791200,189.272,189.3045,188.675,188.8045,NaN
1709794800,188.8045,188.8275,188.41,188.4155,NaN
1709798400,188.4155,188.6095,188.2945,188.4225,NaN
1709802000,188.4225,188.7925,188.25,188.683,NaN
1709805600,188.683,188.7025,188.559,188.678,NaN
1709809200,188.678,188.707,188.4735,188.5685,NaN
1709812800,188.5685,188.638,188.388,188.5,NaN
1709816400,188.5,188.592,188.248,188.4355,NaN
1709820000,188.4355,189.186,188.4025,189.126,NaN
1709823600,189.126,189.524,189.1085,189.462,NaN
1709827200,189.462,189.492,189.2685,189.4665,NaN
1709830800,189.4665,189.58,189.3885,189.4595,NaN
1709834400,189.4595,189.689,189.449,189.6555,NaN
1709838000,189.6555,189.683,189.515,189.523,NaN
1709841600,189.523,189.7245,189.4715,189.6695,NaN
1709845200,189.6695,189.682,189.5325,189.627,NaN
1709848800,189.627,189.628,189.413,189.4605,NaN
1709852400,189.4605,189.552,189.38,189.468,NaN
1709856000,189.468,189.507,189.1215,189.334,NaN
1709859600,189.334,189.719,189.228,189.546,NaN
1709863200,189.546,189.674,189.441,189.4955,NaN
1709866800,189.4955,189.5905,189.307,189.3165,NaN
1709870400,189.3165,189.4185,189.314,189.365,NaN
1709874000,189.365,189.404,189.2935,189.334,NaN
1709877600,189.334,189.538,189.333,189.3945,NaN
1709881200,189.3945,189.6025,189.2365,189.345,NaN
1709884800,189.345,189.621,189.307,189.503,NaN
1709888400,189.503,189.5185,188.389,188.739,NaN
1709892000,188.739,188.921,188.5705,188.8315,NaN
1709895600,188.8315,188.8335,188.5405,188.726,NaN
1709899200,188.726,189.0315,188.7085,189.024,NaN
1709902800,189.024,189.234,188.66,189.051,NaN
1709906400,189.051,189.215,188.9165,189.1775,NaN
1709910000,189.1775,189.4975,189.1755,189.3855,NaN
1709913600,189.3855,189.4345,189.1035,189.121,NaN
1709917200,189.121,189.1515,188.9055,188.9195,NaN
1709920800,188.9195,189.0285,188.778,188.879,NaN
1709924400,188.879,189.1235,188.873,189.0555,NaN
1709928000,189.0555,189.0865,188.9595,188.986,NaN
1709931600,188.986,189.138,188.983,189.086,NaN
1710104400,189.086,189.259,189.086,189.1635,NaN
1710108000,189.1635,189.1635,188.933,188.9395,NaN
1710111600,188.9395,188.943,188.5945,188.72,NaN
1710115200,188.72,188.844,188.623,188.686,NaN
1710118800,188.686,188.843,188.465,188.814,NaN
1710122400,188.814,188.9945,188.7615,188.967,NaN
1710126000,188.967,188.9705,188.8065,188.8235,NaN
1710129600,188.8235,188.94,188.7455,188.793,NaN
1710133200,188.793,188.9735,188.7625,188.856,NaN
1710136800,188.856,188.977,188.7885,188.8585,NaN
1710140400,188.8585,188.928,188.5005,188.506,NaN
1710144000,188.506,188.602,188.22,188.3365,NaN
1710147600,188.3365,188.417,188.149,188.286,NaN
1710151200,188.286,188.489,188.1735,188.4245,NaN
1710154800,188.4245,188.5025,188.3825,188.4525,NaN
1710158400,188.4525,188.5965,188.2845,188.295,NaN
1710162000,188.295,188.4725,188.2525,188.4695,NaN
1710165600,188.4695,188.604,188.372,188.384,NaN
1710169200,188.384,188.4275,187.966,188.058,NaN
1710172800,188.058,188.2005,187.999,188.099,NaN
1710176400,188.099,188.2075,187.9875,188.189,NaN
1710180000,188.189,188.3065,188.1465,188.1925,NaN
1710183600,188.1925,188.2625,188.178,188.2505,NaN
1710187200,188.2505,188.3095,188.2235,188.286,NaN
1710190800,188.286,188.3595,188.176,188.3215,NaN
1710194400,188.3215,188.3225,188.193,188.2785,NaN
1710198000,188.2785,188.2815,188.013,188.091,NaN
1710201600,188.091,188.268,187.983,188.2345,NaN
1710205200,188.2345,188.435,188.2345,188.3865,NaN
1710208800,188.3865,189.0115,188.376,189.0115,NaN
1710212400,189.0115,189.033,188.8755,188.9425,NaN
1710216000,188.9425,188.99,188.8605,188.9395,NaN
1710219600,188.9395,189.205,188.936,189.135,NaN
1710223200,189.135,189.1805,188.6765,188.916,NaN
1710226800,188.916,188.987,188.3765,188.444,NaN
1710230400,188.444,188.7215,188.2335,188.375,NaN
1710234000,188.375,188.567,188.3255,188.5605,NaN
1710237600,188.5605,188.673,188.5255,188.5415,NaN
1710241200,188.5415,188.6165,188.4875,188.5995,NaN
1710244800,188.5995,189.0695,188.3425,188.574,NaN
1710248400,188.574,188.917,188.4685,188.6105,NaN
1710252000,188.6105,188.9275,188.5475,188.905,NaN
1710255600,188.905,188.9335,188.7405,188.818,NaN
1710259200,188.818,188.896,188.7025,188.7435,NaN
1710262800,188.7435,188.9395,188.68,188.934,NaN
1710266400,188.934,188.9435,188.7845,188.909,NaN
1710270000,188.909,188.943,188.8325,188.9425,NaN
1710273600,188.9425,188.958,188.8945,188.932,NaN
1710277200,188.932,188.932,188.821,188.886,NaN
1710280800,188.886,188.8905,188.779,188.799,NaN
1710284400,188.799,188.9255,188.7635,188.8825,NaN
1710288000,188.8825,188.9025,188.553,188.554,NaN
1710291600,188.554,188.64,188.418,188.597,NaN
1710295200,188.597,188.729,188.506,188.56,NaN
1710298800,188.56,188.629,188.473,188.569,NaN
1710302400,188.569,188.7675,188.5455,188.7555,NaN
1710306000,188.7555,188.8405,188.732,188.794,NaN
