time,open,high,low,close,Volume
1697058000,1.23133,1.23317,1.21718,1.21749,NaN
1697144400,1.21749,1.22255,1.21225,1.21432,NaN
1697403600,1.21432,1.22196,1.21368,1.22178,NaN
1697490000,1.22178,1.22178,1.2133,1.21832,NaN
1697576400,1.21832,1.22113,1.21371,1.21405,NaN
1697662800,1.21405,1.2192,1.20902,1.21442,NaN
1697749200,1.21442,1.21704,1.20934,1.21704,NaN
1698008400,1.21704,1.22588,1.21434,1.22489,NaN
1698094800,1.22489,1.22889,1.21533,1.21599,NaN
1698181200,1.21599,1.21761,1.21066,1.21116,NaN
1698267600,1.21116,1.21397,1.20697,1.21286,NaN
1698354000,1.21286,1.21629,1.21057,1.21209,NaN
1698613200,1.21209,1.21747,1.20902,1.21698,NaN
1698699600,1.21698,1.22005,1.21196,1.21537,NaN
1698786000,1.21537,1.21645,1.20959,1.21519,NaN
1698872400,1.21519,1.22256,1.21399,1.2203,NaN
1698958800,1.2203,1.23896,1.21846,1.23896,NaN
1699221600,1.23896,1.24285,1.23381,1.23445,NaN
1699308000,1.23445,1.23501,1.22626,1.23008,NaN
1699394400,1.23008,1.23041,1.22419,1.22841,NaN
1699480800,1.22841,1.23088,1.22128,1.22234,NaN
1699567200,1.22234,1.22378,1.21872,1.22266,NaN
1699826400,1.22266,1.22804,1.22144,1.22792,NaN
1699912800,1.22792,1.25061,1.22655,1.24994,NaN
1699999200,1.24994,1.25022,1.24037,1.24164,NaN
1700085600,1.24164,1.2456,1.23765,1.24148,NaN
1700172000,1.24148,1.24651,1.23741,1.2462,NaN
1700431200,1.2463,1.25177,1.2446,1.25055,NaN
1700517600,1.25055,1.25594,1.25004,1.25386,NaN
1700604000,1.25386,1.25498,1.24492,1.24942,NaN
1700690400,1.24942,1.25724,1.24883,1.25338,NaN
1700776800,1.25338,1.26154,1.25246,1.26041,NaN
1701036000,1.26041,1.26445,1.25911,1.26272,NaN
1701122400,1.26272,1.2715,1.26069,1.26943,NaN
1701208800,1.26943,1.27333,1.26647,1.26954,NaN
1701295200,1.26954,1.27109,1.26033,1.26239,NaN
1701381600,1.26239,1.27162,1.26139,1.27109,NaN
1701640800,1.27109,1.2725,1.2604,1.26334,NaN
1701727200,1.26334,1.26523,1.25774,1.25957,NaN
1701813600,1.25957,1.26139,1.25517,1.25599,NaN
1701900000,1.25599,1.26128,1.25444,1.25934,NaN
1701986400,1.25934,1.26017,1.25024,1.25493,NaN
1702245600,1.25493,1.2591,1.25341,1.25561,NaN
1702332000,1.25561,1.2616,1.25142,1.25625,NaN
1702418400,1.25625,1.2635,1.25004,1.26177,NaN
1702504800,1.26177,1.27942,1.26122,1.27664,NaN
1702591200,1.27664,1.27906,1.26686,1.26788,NaN
1702850400,1.26788,1.2704,1.26288,1.26478,NaN
1702936800,1.26478,1.2762,1.2637,1.27322,NaN
1703023200,1.27322,1.27345,1.26251,1.26385,NaN
1703109600,1.26385,1.2696,1.26123,1.26898,NaN
1703196000,1.26898,1.27445,1.26791,1.26967,NaN
1703541600,1.26967,1.27305,1.26845,1.27252,NaN
1703628000,1.27252,1.28027,1.26989,1.27984,NaN
1703714400,1.27984,1.28278,1.27126,1.27333,NaN
1703800800,1.27333,1.27729,1.27006,1.27313,NaN
1704146400,1.27313,1.27601,1.26109,1.26172,NaN
1704232800,1.26172,1.26769,1.26162,1.26647,NaN
1704319200,1.26647,1.27298,1.26572,1.26819,NaN
1704405600,1.26819,1.2771,1.26113,1.27189,NaN
1704664800,1.27189,1.27671,1.26734,1.27483,NaN
1704751200,1.27483,1.27654,1.26896,1.27096,NaN
1704837600,1.27096,1.27443,1.26864,1.2743,NaN
1704924000,1.2743,1.27865,1.26903,1.27606,NaN
1705010400,1.27606,1.27858,1.27196,1.27508,NaN
1705269600,1.27508,1.27656,1.27131,1.27275,NaN
1705356000,1.27275,1.2735,1.26196,1.26382,NaN
1705442400,1.26382,1.26965,1.25966,1.26766,NaN
1705528800,1.26766,1.27084,1.26482,1.27061,NaN
1705615200,1.27061,1.27148,1.26614,1.27033,NaN
1705874400,1.27033,1.27329,1.26869,1.27092,NaN
1705960800,1.27092,1.27473,1.26492,1.26874,NaN
1706047200,1.26874,1.27749,1.26796,1.27256,NaN
1706133600,1.27256,1.27428,1.26817,1.27076,NaN
1706220000,1.27076,1.27585,1.26756,1.27022,NaN
1706479200,1.27022,1.2719,1.26621,1.27084,NaN
1706565600,1.27084,1.27214,1.26403,1.26993,NaN
1706652000,1.26993,1.27507,1.26583,1.26883,NaN
1706738400,1.26883,1.27558,1.26254,1.27438,NaN
1706824800,1.27438,1.27723,1.26141,1.26335,NaN
1707084000,1.26335,1.2639,1.25184,1.25355,NaN
1707170400,1.25355,1.26032,1.2532,1.25974,NaN
1707256800,1.25974,1.26421,1.25937,1.2626,NaN
1707343200,1.2626,1.26388,1.25718,1.26169,NaN
1707429600,1.26169,1.26431,1.25991,1.26282,NaN
1707688800,1.26282,1.26548,1.26062,1.26289,NaN
1707775200,1.26289,1.26903,1.25732,1.25925,NaN
1707861600,1.25925,1.26113,1.25355,1.25655,NaN
1707948000,1.25655,1.26022,1.25415,1.259955,NaN
1708034400,1.259955,1.26247,1.25508,1.26024,NaN
1708293600,1.26024,1.262985,1.25835,1.25952,NaN
1708380000,1.25952,1.266865,1.257925,1.26225,NaN
1708466400,1.26225,1.264185,1.26027,1.26379,NaN
1708552800,1.26379,1.270975,1.26117,1.266055,NaN
1708639200,1.266055,1.270135,1.264865,1.26715,NaN
1708898400,1.26715,1.26997,1.26568,1.268535,NaN
1708984800,1.268535,1.26969,1.266035,1.26848,NaN
1709071200,1.26848,1.26892,1.26217,1.266175,NaN
1709157600,1.266175,1.268175,1.26127,1.26248,NaN
1709244000,1.26248,1.266405,1.259995,1.265245,NaN
1709503200,1.265245,1.27067,1.26511,1.26921,NaN
1709589600,1.26921,1.273495,1.26713,1.27055,NaN
1709676000,1.27055,1.27618,1.269025,1.27313,NaN
1709762400,1.27313,1.2811,1.27231,1.28084,NaN
1709848800,1.28084,1.28937,1.28012,1.28571,NaN
1710104400,1.28571,1.2864,1.279525,1.281385,NaN
1710190800,1.281385,1.282375,1.274605,1.279275,NaN
1710277200,1.279275,1.28114,1.27747,1.2797,NaN
1710363600,1.2797,1.282295,1.273065,1.27535,NaN
1710450000,1.27535,1.27589,1.272535,1.27347,NaN
1710709200,1.27347,1.274685,1.27179,1.272925,NaN
1710795600,1.272925,1.273305,1.266775,1.272175,NaN
1710882000,1.272175,1.27872,1.26844,1.27854,NaN
1710968400,1.27854,1.280355,1.265045,1.26573,NaN
1711054800,1.26573,1.267525,1.257525,1.26013,NaN
1711314000,1.26013,1.265245,1.259185,1.26365,NaN
1711400400,1.26365,1.26681,1.262195,1.262765,NaN
1711486800,1.262765,1.264115,1.26056,1.264055,NaN
1711573200,1.264055,1.265465,1.258595,1.262385,NaN
1711659600,1.262385,1.264525,1.261,1.26238,NaN
1711918800,1.26238,1.264295,1.253965,1.25515,NaN
1712005200,1.25515,1.25787,1.253955,1.257765,NaN
1712091600,1.257765,1.265595,1.256265,1.265235,NaN
1712178000,1.265235,1.26836,1.26353,1.26422,NaN
1712264400,1.26422,1.26487,1.25742,1.26375,NaN
1712523600,1.26375,1.26641,1.261345,1.265495,NaN
1712610000,1.265495,1.270945,1.264885,1.26778,NaN
1712696400,1.26778,1.27083,1.25203,1.25402,NaN
1712782800,1.25402,1.25786,1.25108,1.25533,NaN
1712869200,1.25533,1.25589,1.24267,1.24492,NaN
1713128400,1.24492,1.24986,1.243595,1.244615,NaN
1713214800,1.244615,1.247195,1.240585,1.24263,NaN
1713301200,1.24263,1.24819,1.241715,1.245365,NaN
1713387600,1.245365,1.24845,1.24336,1.24364,NaN
1713474000,1.24364,1.246825,1.236695,1.23697,NaN
1713733200,1.23697,1.23924,1.229965,1.23494,NaN
1713819600,1.23494,1.245865,1.23319,1.24494,NaN
1713906000,1.24494,1.247,1.24227,1.246385,NaN
1713992400,1.246385,1.252775,1.245285,1.25143,NaN
1714078800,1.25143,1.254095,1.244915,1.24938,NaN
1714338000,1.24938,1.256955,1.24811,1.256285,NaN
1714424400,1.256285,1.256445,1.24902,1.249175,NaN
1714510800,1.249175,1.25502,1.246635,1.2527,NaN
1714597200,1.2527,1.254465,1.24719,1.25341,NaN
1714683600,1.25341,1.26349,1.25253,1.25469,NaN
1714942800,1.25469,1.259455,1.253845,1.25621,NaN
1715029200,1.25621,1.25708,1.25009,1.25088,NaN
1715115600,1.25088,1.25173,1.24678,1.249775,NaN
1715202000,1.249775,1.252705,1.24461,1.25239,NaN
1715288400,1.25239,1.25413,1.25027,1.252585,NaN
1715547600,1.252585,1.256885,1.25172,1.25592,NaN
1715634000,1.25592,1.2593,1.250945,1.2592,NaN
1715720400,1.2592,1.26868,1.258365,1.268535,NaN
1715806800,1.268535,1.270075,1.264345,1.26696,NaN
1715893200,1.26696,1.27119,1.264495,1.27016,NaN
1716152400,1.27016,1.27256,1.26894,1.270625,NaN
1716238800,1.270625,1.272715,1.26865,1.270945,NaN
1716325200,1.270945,1.27615,1.270025,1.271685,NaN
1716411600,1.271685,1.27467,1.268545,1.26988,NaN
1716498000,1.26988,1.2751,1.267625,1.273745,NaN
1716757200,1.273745,1.27777,1.273385,1.27697,NaN
1716843600,1.27697,1.280075,1.27542,1.27617,NaN
1716930000,1.27617,1.277185,1.269915,1.270045,NaN
1717016400,1.270045,1.27472,1.268095,1.273215,NaN
1717102800,1.273215,1.276625,1.270025,1.2742,NaN
1717362000,1.2742,1.280825,1.26942,1.280765,NaN
1717448400,1.280765,1.28175,1.274305,1.277045,NaN
1717534800,1.277045,1.27955,1.275545,1.278705,NaN
1717621200,1.278705,1.28092,1.27627,1.279055,NaN
1717707600,1.279055,1.28218,1.271615,1.2721,NaN
1717966800,1.2721,1.27374,1.26879,1.273065,NaN
1718053200,1.273065,1.27518,1.270595,1.274015,NaN
1718139600,1.274015,1.28605,1.2733,1.279825,NaN
1718226000,1.279825,1.280755,1.273815,1.27622,NaN
1718312400,1.27622,1.27636,1.26569,1.26841,NaN
1718571600,1.26841,1.27098,1.2659,1.270475,NaN
1718658000,1.270475,1.2721,1.266885,1.27086,NaN
1718744400,1.27086,1.27401,1.27003,1.27204,NaN
1718830800,1.27204,1.27245,1.26548,1.265715,NaN
1718917200,1.265715,1.267485,1.262225,1.26463,NaN
1719176400,1.26463,1.269815,1.26326,1.26848,NaN
1719262800,1.26848,1.27026,1.26704,1.2686,NaN
