time,open,high,low,close,Volume
1709762400,1.27313,1.27367,1.272965,1.272995,NaN
1709766000,1.272995,1.27361,1.272855,1.273595,NaN
1709769600,1.273595,1.27399,1.273335,1.27382,NaN
1709773200,1.27382,1.27388,1.272805,1.27304,NaN
1709776800,1.27304,1.2732,1.27231,1.27301,NaN
1709780400,1.27301,1.273575,1.27277,1.27338,NaN
1709784000,1.27338,1.27404,1.27335,1.27398,NaN
1709787600,1.27398,1.27407,1.27326,1.273375,NaN
1709791200,1.273375,1.27408,1.273165,1.27401,NaN
1709794800,1.27401,1.274415,1.273275,1.273585,NaN
1709798400,1.273585,1.274135,1.273205,1.27374,NaN
1709802000,1.27374,1.27515,1.27295,1.27501,NaN
1709805600,1.27501,1.276,1.27483,1.27598,NaN
1709809200,1.27598,1.27627,1.274905,1.27549,NaN
1709812800,1.27549,1.27587,1.27484,1.275095,NaN
1709816400,1.275095,1.276205,1.27451,1.275205,NaN
1709820000,1.275205,1.27727,1.274915,1.276835,NaN
1709823600,1.276835,1.279095,1.27633,1.27893,NaN
1709827200,1.27893,1.279825,1.27841,1.2794,NaN
1709830800,1.2794,1.279455,1.27844,1.27922,NaN
1709834400,1.27922,1.28086,1.2792,1.28049,NaN
1709838000,1.28049,1.28078,1.28002,1.28053,NaN
1709841600,1.28053,1.2811,1.280025,1.28087,NaN
1709845200,1.28087,1.28107,1.28045,1.28084,NaN
1709848800,1.28084,1.2811,1.280505,1.28089,NaN
1709852400,1.28089,1.28136,1.28086,1.28134,NaN
1709856000,1.28134,1.282,1.28128,1.281435,NaN
1709859600,1.281435,1.28165,1.280625,1.28093,NaN
1709863200,1.28093,1.28123,1.28056,1.28067,NaN
1709866800,1.28067,1.28086,1.28042,1.28077,NaN
1709870400,1.28077,1.281265,1.280635,1.28075,NaN
1709874000,1.28075,1.28106,1.28065,1.28099,NaN
1709877600,1.28099,1.281145,1.280435,1.28095,NaN
1709881200,1.28095,1.28137,1.28012,1.28036,NaN
1709884800,1.28036,1.282045,1.280125,1.28203,NaN
1709888400,1.28203,1.282945,1.28129,1.28277,NaN
1709892000,1.28277,1.28403,1.282305,1.283705,NaN
1709895600,1.283705,1.28373,1.28248,1.28299,NaN
1709899200,1.28299,1.28397,1.282575,1.283895,NaN
1709902800,1.283895,1.28937,1.2827,1.286395,NaN
1709906400,1.286395,1.28856,1.286255,1.28786,NaN
1709910000,1.28786,1.28864,1.28658,1.28806,NaN
1709913600,1.28806,1.28815,1.28434,1.284985,NaN
1709917200,1.284985,1.285715,1.284565,1.28493,NaN
1709920800,1.28493,1.28493,1.28412,1.284295,NaN
1709924400,1.284295,1.285765,1.284005,1.285665,NaN
1709928000,1.285665,1.285875,1.28487,1.28508,NaN
1709931600,1.28508,1.28598,1.28508,1.28571,NaN
1710104400,1.28571,1.2864,1.285625,1.28581,NaN
1710108000,1.28581,1.28581,1.284805,1.28486,NaN
1710111600,1.28486,1.285685,1.28486,1.285565,NaN
1710115200,1.285565,1.286095,1.28507,1.28563,NaN
1710118800,1.28563,1.286215,1.28538,1.285525,NaN
1710122400,1.285525,1.285565,1.284775,1.28486,NaN
1710126000,1.28486,1.28542,1.284565,1.28506,NaN
1710129600,1.28506,1.28527,1.28477,1.28514,NaN
1710133200,1.28514,1.28538,1.284755,1.284935,NaN
1710136800,1.284935,1.28556,1.28476,1.285445,NaN
1710140400,1.285445,1.28582,1.284335,1.284545,NaN
1710144000,1.284545,1.284955,1.283175,1.283655,NaN
1710147600,1.283655,1.28471,1.283255,1.284245,NaN
1710151200,1.284245,1.2853,1.28395,1.284705,NaN
1710154800,1.284705,1.2854,1.2842,1.28509,NaN
1710158400,1.28509,1.285105,1.282425,1.282425,NaN
1710162000,1.282425,1.28302,1.282,1.28242,NaN
