time,open,high,low,close,Volume
1705338000,2054.11,2056.41,2053.65,2055.47,NaN
1705341600,2055.47,2055.51,2054.36,2054.47,NaN
1705345200,2054.47,2054.95,2053.69,2054.75,NaN
1705359600,2054.75,2055.61,2053.39,2054.06,NaN
1705363200,2054.06,2054.6,2050.86,2051.49,NaN
1705366800,2051.49,2053.46,2050.02,2050.94,NaN
1705370400,2050.94,2051.56,2049.82,2050.59,NaN
1705374000,2050.59,2051.65,2048.44,2049.57,NaN
1705377600,2049.57,2050.14,2049.1,2049.46,NaN
1705381200,2049.46,2049.52,2047.62,2048.64,NaN
1705384800,2048.64,2050.65,2047.42,2050.61,NaN
1705388400,2050.61,2050.98,2048.14,2049.48,NaN
1705392000,2049.48,2050.17,2042.34,2043.19,NaN
1705395600,2043.19,2043.97,2038.79,2041.31,NaN
1705399200,2041.31,2042.51,2039.34,2041.08,NaN
1705402800,2041.08,2041.24,2038.36,2039.93,NaN
1705406400,2039.93,2040.11,2035.71,2038.55,NaN
1705410000,2038.55,2045.04,2031.45,2037.71,NaN
1705413600,2037.71,2042.63,2036.98,2038.27,NaN
1705417200,2038.27,2042.06,2037.43,2041.21,NaN
1705420800,2041.21,2041.35,2032.58,2033.55,NaN
1705424400,2033.55,2033.88,2025.03,2025.38,NaN
1705428000,2025.38,2028.99,2024.3,2025.16,NaN
1705431600,2025.16,2030.23,2025.02,2029.43,NaN
1705435200,2029.43,2029.89,2027.93,2028.33,NaN
1705438800,2028.33,2028.59,2027.23,2028.5,NaN
1705446000,2028.5,2028.5,2025.98,2028.2,NaN
1705449600,2028.2,2028.96,2025.7,2028.57,NaN
1705453200,2028.57,2030.84,2026.78,2030.31,NaN
1705456800,2030.31,2033.02,2027.12,2029.02,NaN
1705460400,2029.02,2029.22,2023.53,2024.12,NaN
1705464000,2024.12,2025.89,2023.45,2025.5,NaN
1705467600,2025.5,2025.53,2019.45,2020.75,NaN
1705471200,2020.75,2020.85,2017.69,2019.27,NaN
1705474800,2019.27,2026.23,2017.92,2025.92,NaN
1705478400,2025.92,2026.65,2021.36,2021.53,NaN
1705482000,2021.53,2024.32,2019.12,2024.01,NaN
1705485600,2024.01,2028.39,2022.86,2026.14,NaN
1705489200,2026.14,2026.81,2023.8,2023.97,NaN
1705492800,2023.97,2029.1,2023.82,2028.43,NaN
1705496400,2028.43,2028.76,2019.11,2022.48,NaN
1705500000,2022.48,2023.15,2011.61,2012.28,NaN
1705503600,2012.28,2014.13,2006.23,2008.97,NaN
1705507200,2008.97,2012.03,2004.35,2005.57,NaN
1705510800,2005.57,2008.12,2003.51,2007.11,NaN
1705514400,2007.11,2007.26,2001.88,2004.82,NaN
1705518000,2004.82,2006.96,2004.42,2005.54,NaN
1705521600,2005.54,2006.93,2004.83,2006.14,NaN
1705525200,2006.14,2006.5,2005.39,2006.22,NaN
1705532400,2006.22,2009.93,2006.22,2009.64,NaN
1705536000,2009.64,2010.97,2008.38,2010.93,NaN
1705539600,2010.93,2012.16,2009.43,2011.74,NaN
1705543200,2011.74,2011.92,2007.55,2007.71,NaN
1705546800,2007.71,2009.23,2006.5,2008.11,NaN
1705550400,2008.11,2009.28,2007.97,2008.15,NaN
1705554000,2008.15,2009.48,2005.87,2009.29,NaN
1705557600,2009.29,2013.1,2008.94,2012.8,NaN
1705561200,2012.8,2014.15,2011.12,2012.4,NaN
1705564800,2012.4,2012.43,2009.7,2009.8,NaN
1705568400,2009.8,2013.06,2008.24,2010.2,NaN
1705572000,2010.2,2012.26,2009.26,2011.68,NaN
1705575600,2011.68,2013.55,2010.84,2012.67,NaN
1705579200,2012.67,2017.32,2012.67,2015.1,NaN
1705582800,2015.1,2015.1,2007.77,2009.13,NaN
1705586400,2009.13,2013.7,2009.13,2012.9,NaN
1705590000,2012.9,2015.7,2011.72,2013.69,NaN
1705593600,2013.69,2017.79,2013.14,2014.93,NaN
1705597200,2014.93,2016.43,2013.28,2016.42,NaN
1705600800,2016.42,2021.15,2015.57,2020.59,NaN
1705604400,2020.59,2020.65,2018.41,2019.84,NaN
1705608000,2019.84,2022.74,2019.84,2022.33,NaN
1705611600,2022.33,2023.32,2021.95,2023.23,NaN
1705618800,2023.23,2024.5,2021.27,2023.88,NaN
1705622400,2023.88,2024.34,2022.74,2023.22,NaN
1705626000,2023.22,2025.58,2022.17,2024.09,NaN
1705629600,2024.09,2025.1,2022.66,2024.12,NaN
1705633200,2024.12,2024.31,2022.04,2022.94,NaN
1705636800,2022.94,2022.97,2020.75,2021.11,NaN
1705640400,2021.11,2021.97,2020.45,2021.7,NaN
1705644000,2021.7,2024.35,2020.92,2023.91,NaN
1705647600,2023.91,2029.69,2023.72,2028.08,NaN
1705651200,2028.08,2030.19,2026.27,2029.78,NaN
1705654800,2029.78,2030.91,2027.67,2029.82,NaN
1705658400,2029.82,2031,2028.98,2030.43,NaN
1705662000,2030.43,2032.02,2028.84,2031.68,NaN
1705665600,2031.68,2035.21,2031.68,2032.92,NaN
1705669200,2032.92,2039.48,2032.71,2035.34,NaN
1705672800,2035.34,2035.79,2026.48,2029.74,NaN
1705676400,2029.74,2032.23,2023.2,2027.77,NaN
1705680000,2027.77,2029.6,2023.39,2024.92,NaN
1705683600,2024.92,2029.13,2024.45,2029.13,NaN
1705687200,2029.13,2029.49,2026.52,2027.93,NaN
1705690800,2027.93,2029.49,2027.6,2029.22,NaN
1705694400,2029.22,2029.52,2027.81,2028.42,NaN
1705698000,2028.42,2030.04,2028.19,2029.58,NaN
1705878000,2029.58,2029.58,2027,2027.66,NaN
1705881600,2027.66,2029.32,2025.53,2029.07,NaN
1705885200,2029.07,2032.2,2028.78,2029.16,NaN
1705888800,2029.16,2030.12,2028.44,2029.84,NaN
1705892400,2029.84,2029.86,2026.07,2027.04,NaN
1705896000,2027.04,2027.21,2024.74,2025.54,NaN
1705899600,2025.54,2025.59,2021.93,2023.33,NaN
1705903200,2023.33,2024.51,2020.15,2020.97,NaN
1705906800,2020.97,2024.36,2019.19,2021.86,NaN
1705910400,2021.86,2026.31,2020.49,2022.32,NaN
1705914000,2022.32,2024.03,2020.66,2021.75,NaN
1705917600,2021.75,2024.62,2021.14,2022.92,NaN
1705921200,2022.92,2026.62,2022.28,2026.22,NaN
1705924800,2026.22,2030.2,2025.29,2029.78,NaN
1705928400,2029.78,2029.78,2021.33,2023.26,NaN
1705932000,2023.26,2023.99,2016.68,2022.78,NaN
1705935600,2022.78,2026.61,2020.82,2024.21,NaN
1705939200,2024.21,2024.27,2021.55,2023.74,NaN
1705942800,2023.74,2024.64,2021.44,2021.6,NaN
1705946400,2021.6,2021.94,2019.86,2021.4,NaN
1705950000,2021.4,2021.66,2019.18,2021.09,NaN
1705953600,2021.09,2021.1,2019.29,2020.9,NaN
1705957200,2020.9,2021.89,2020.29,2021.81,NaN
1705964400,2021.81,2022.2,2020.54,2020.77,NaN
1705968000,2020.77,2023.19,2020.77,2022.85,NaN
1705971600,2022.85,2022.97,2019.66,2021.79,NaN
