date,open,high,low,close,change,diff
07/05/2024 00:00,2356.73,2358.83,2355.98,2358.46,173,0.07
07/04/2024 23:00,2357.08,2357.46,2355.7,2356.35,-73,-0.03
07/04/2024 22:00,2356.65,2357.28,2354.1,2357.28,63,0.03
07/04/2024 21:00,2357.11,2357.11,2357.11,2357.11,0,0
07/04/2024 18:00,2356.2,2357.11,2353.67,2357.11,91,0.04
07/04/2024 17:00,2357.78,2357.8,2356,2356.2,-158,-0.07
07/04/2024 16:00,2357.99,2358.72,2357.16,2357.87,-12,-0.01
07/04/2024 15:00,2358.82,2360.39,2356.32,2357.76,-106,-0.04
07/04/2024 14:00,2358.5,2361.55,2358.1,2358.67,17,0.01
07/04/2024 13:00,2358.39,2360.01,2357.44,2359.76,137,0.06
07/04/2024 12:00,2358.55,2360.2,2357.09,2357.7,-85,-0.04
07/04/2024 11:00,2358.19,2359.86,2357.5,2358.76,57,0.02
07/04/2024 10:00,2356.7,2358.95,2356,2357.98,128,0.05
07/04/2024 09:00,2358.7,2359.01,2355.6,2357.83,-87,-0.04
07/04/2024 08:00,2357.48,2359.34,2354.8,2358.88,140,0.06
07/04/2024 07:00,2356.06,2357.6,2353.77,2357.6,154,0.07
07/04/2024 06:00,2356.57,2356.95,2351.96,2355.72,-85,-0.04
07/04/2024 05:00,2358.34,2358.41,2355.4,2357.21,-113,-0.05
07/04/2024 04:00,2357.76,2359.32,2356.6,2358.91,115,0.05
07/04/2024 03:00,2359.08,2360.05,2357.58,2357.97,-111,-0.05
07/04/2024 02:00,2361.66,2361.81,2357.36,2359.24,-242,-0.1
07/04/2024 01:00,2357.3,2362.34,2357.3,2361.68,438,0.19
07/04/2024 00:00,2358.76,2359.07,2356,2358.71,-5,0
07/03/2024 23:00,2358.62,2359.43,2357.49,2359,38,0.02
07/03/2024 22:00,2356.71,2358.91,2355.4,2358.63,192,0.08
07/03/2024 21:00,2356.16,2356.16,2356.16,2356.16,0,0
07/03/2024 20:00,2354.3,2356.27,2353.5,2356.16,186,0.08
07/03/2024 19:00,2355.88,2356.56,2353.2,2354.21,-167,-0.07
07/03/2024 18:00,2356.67,2357.81,2355.34,2356.15,-52,-0.02
07/03/2024 17:00,2356.19,2360.75,2353.97,2356.35,16,0.01
07/03/2024 16:00,2363.51,2363.51,2355.21,2356.08,-743,-0.32
07/03/2024 15:00,2362.35,2363.78,2360.08,2363.32,97,0.04
07/03/2024 14:00,2356.13,2364.57,2356.13,2362.01,588,0.25
07/03/2024 13:00,2348.94,2358.47,2347.89,2354.91,597,0.25
07/03/2024 12:00,2345.62,2356.09,2344.94,2350.43,481,0.2
07/03/2024 11:00,2346.86,2346.86,2342.39,2345.38,-148,-0.06
07/03/2024 10:00,2346.32,2349.47,2344.55,2346.93,61,0.03
07/03/2024 09:00,2344.65,2346.48,2342.11,2346.29,164,0.07
07/03/2024 08:00,2345.33,2347.48,2343.15,2344.62,-71,-0.03
07/03/2024 07:00,2340.57,2346.74,2339.26,2345.93,536,0.23
07/03/2024 06:00,2333.3,2340.78,2332.9,2339.85,655,0.28
07/03/2024 05:00,2334.35,2335.62,2331.1,2333.26,-109,-0.05
07/03/2024 04:00,2331.8,2334.77,2331.6,2334.32,252,0.11
07/03/2024 03:00,2328.91,2332.32,2328,2331.66,275,0.12
07/03/2024 02:00,2329.36,2330.97,2326.6,2328.85,-51,-0.02
07/03/2024 01:00,2329.42,2331.39,2328.4,2328.92,-50,-0.02
07/03/2024 00:00,2330.92,2331.98,2329.9,2330.13,-79,-0.03
07/02/2024 23:00,2330.12,2331.24,2329.1,2330.09,-3,0
07/02/2024 22:00,2330.21,2331.15,2328.9,2329.87,-34,-0.01
07/02/2024 21:00,2329.27,2329.44,2329.27,2329.44,17,0.01
07/02/2024 20:00,2330.72,2330.82,2328,2329.27,-145,-0.06
07/02/2024 19:00,2328.13,2331.19,2327.8,2330.93,280,0.12
07/02/2024 18:00,2324.65,2328.85,2324.51,2328.36,371,0.16
07/02/2024 17:00,2322.82,2325.21,2322.05,2324.71,189,0.08
07/02/2024 16:00,2324.7,2324.94,2320.91,2322.83,-187,-0.08
07/02/2024 15:00,2326.65,2330.44,2324.14,2324.72,-193,-0.08
07/02/2024 14:00,2334.44,2335.22,2323.06,2326.64,-780,-0.34
07/02/2024 13:00,2327.4,2336.76,2326.15,2334.61,721,0.31
07/02/2024 12:00,2320.95,2328.66,2319.05,2327.53,658,0.28
07/02/2024 11:00,2324.5,2325.62,2319.99,2320.69,-381,-0.16
07/02/2024 10:00,2324.92,2326.5,2322.77,2324.49,-43,-0.02
07/02/2024 09:00,2331.17,2331.9,2324.09,2324.83,-634,-0.27
07/02/2024 08:00,2330.84,2332.47,2328.41,2331.17,33,0.01
07/02/2024 07:00,2330.35,2330.92,2323.24,2330.76,41,0.02
07/02/2024 06:00,2330.09,2331.73,2327.61,2330.55,46,0.02
07/02/2024 05:00,2327.25,2330.79,2326.32,2329.91,266,0.11
07/02/2024 04:00,2326,2327.83,2324.92,2327.26,126,0.05
07/02/2024 03:00,2332.32,2332.65,2325.78,2326.02,-630,-0.27
07/02/2024 02:00,2334.09,2334.34,2331.19,2332.34,-175,-0.08
07/02/2024 01:00,2333.06,2334.2,2331.17,2334.1,104,0.04
07/02/2024 00:00,2332.27,2333.89,2331.78,2332.98,71,0.03
07/01/2024 23:00,2331.78,2332.51,2331.59,2332.2,42,0.02
07/01/2024 22:00,2332.54,2332.54,2331.4,2331.77,-77,-0.03
07/01/2024 20:00,2331.09,2332.37,2330.96,2331.75,66,0.03
07/01/2024 19:00,2330.02,2331.45,2328.95,2330.99,97,0.04
07/01/2024 18:00,2329.21,2330.76,2327.01,2329.93,72,0.03
07/01/2024 17:00,2328.15,2329.9,2326.74,2329.23,108,0.05
07/01/2024 16:00,2327.8,2331.83,2326.67,2328.15,35,0.02
07/01/2024 15:00,2324.12,2329.02,2323.08,2327.77,365,0.16
07/01/2024 14:00,2327.15,2334.26,2319.23,2323.97,-318,-0.14
07/01/2024 13:00,2327.46,2334.08,2325.43,2326.39,-107,-0.05
07/01/2024 12:00,2338.15,2338.48,2327.17,2327.34,-1081,-0.46
07/01/2024 11:00,2332.69,2338.21,2332.11,2338.14,545,0.23
07/01/2024 10:00,2327.49,2332.53,2327.48,2332.53,504,0.22
07/01/2024 09:00,2325.84,2329.46,2325.44,2327.44,160,0.07
07/01/2024 08:00,2323.58,2326.23,2321.91,2325.84,226,0.1
07/01/2024 07:00,2326.49,2326.94,2323.67,2323.73,-276,-0.12
07/01/2024 06:00,2321.86,2328.96,2321.43,2326.54,468,0.2
07/01/2024 05:00,2323.69,2323.9,2318.56,2321.85,-184,-0.08
07/01/2024 04:00,2324.56,2326.11,2321.43,2323.69,-87,-0.04
07/01/2024 03:00,2326.64,2327.62,2324.44,2324.74,-190,-0.08
07/01/2024 02:00,2327.77,2327.77,2324.47,2326.64,-113,-0.05
07/01/2024 01:00,2324.85,2328.45,2323.59,2327.88,303,0.13
07/01/2024 00:00,2324.94,2325.34,2322.17,2324.8,-14,-0.01
06/30/2024 23:00,2324.56,2326.1,2323.14,2324.92,36,0.02
06/30/2024 22:00,2326.05,2326.96,2322.88,2324.55,-150,-0.06
06/28/2024 20:00,2325.1,2326.39,2322.66,2326.15,105,0.05
06/28/2024 19:00,2325.35,2326.14,2323.02,2324.79,-56,-0.02
06/28/2024 18:00,2326.85,2328.24,2325.1,2325.44,-141,-0.06
06/28/2024 17:00,2330.09,2332.58,2326.44,2326.74,-335,-0.14
06/28/2024 16:00,2328.73,2332.49,2327.78,2330.1,137,0.06
06/28/2024 15:00,2326.45,2330.2,2324.37,2328.75,230,0.1
06/28/2024 14:00,2331.62,2333.23,2323.21,2326.34,-528,-0.23
06/28/2024 13:00,2335.59,2339.25,2326.5,2330.23,-536,-0.23
06/28/2024 12:00,2334.21,2338.73,2331.39,2335.89,168,0.07
06/28/2024 11:00,2335.98,2336.89,2332.8,2333.79,-219,-0.09
06/28/2024 10:00,2330.27,2336.62,2329.2,2336.02,575,0.25
06/28/2024 09:00,2328.18,2330.01,2327.32,2329.88,170,0.07
06/28/2024 08:00,2326.88,2331.62,2326.5,2328.71,183,0.08
06/28/2024 07:00,2327.45,2328.69,2324.85,2327.19,-26,-0.01
06/28/2024 06:00,2325.18,2327.6,2325.18,2327.29,211,0.09
06/28/2024 05:00,2321.04,2326.83,2320.94,2325.68,464,0.2
06/28/2024 04:00,2321.64,2321.64,2319.7,2321.12,-52,-0.02
06/28/2024 03:00,2323.64,2324.63,2320.5,2321.56,-208,-0.09
06/28/2024 02:00,2320.56,2323.91,2319.96,2323.49,293,0.13
06/28/2024 01:00,2321.25,2322.76,2319.04,2320.19,-106,-0.05
06/28/2024 00:00,2327.48,2328.06,2321.53,2321.88,-560,-0.24
06/27/2024 23:00,2326.66,2327.66,2325.8,2327.42,76,0.03
06/27/2024 22:00,2326.5,2327.16,2325,2326.81,31,0.01
06/27/2024 21:00,2327.16,2327.26,2327.16,2327.26,10,0
06/27/2024 20:00,2326,2328.16,2325.37,2327.23,123,0.05
06/27/2024 19:00,2326.25,2327.63,2325.5,2325.99,-26,-0.01
06/27/2024 18:00,2325.7,2326.32,2322.6,2326.11,41,0.02
06/27/2024 17:00,2325.62,2327.78,2324.33,2325.78,16,0.01
06/27/2024 16:00,2327.1,2328.2,2323.6,2325.24,-186,-0.08
