date,open,high,low,close,change,diff
07/05/2024 00:00,2356.73,2392.72,2355.98,2391.14,3441,1.44
07/04/2024 00:00,2358.76,2362.34,2351.96,2356.35,-241,-0.1
07/03/2024 00:00,2330.92,2364.57,2326.6,2359,2808,1.19
07/02/2024 00:00,2332.43,2336.2,2319.3,2330.08,-235,-0.1
07/01/2024 00:00,2324.86,2338.14,2318.27,2332.09,723,0.31
06/30/2024 00:00,2326.05,2326.96,2322.88,2324.92,-113,-0.05
06/28/2024 00:00,2327.48,2339.25,2319.04,2326.15,-133,-0.06
06/27/2024 00:00,2298.36,2330.71,2296.3,2327.46,2910,1.25
06/26/2024 00:00,2319.79,2322.82,2294.26,2298.16,-2163,-0.94
06/25/2024 00:00,2330.21,2336.93,2315.73,2320.33,-988,-0.43
06/24/2024 00:00,2318.59,2334.5,2317.1,2330.65,1206,0.52
06/23/2024 00:00,2321.15,2321.96,2316.8,2318.99,-216,-0.09
06/21/2024 00:00,2360.95,2368.58,2317.15,2319.04,-4191,-1.81
06/20/2024 00:00,2329.23,2365.1,2327.4,2360.7,3147,1.33
06/19/2024 00:00,2328.48,2334.76,2323.87,2329.23,75,0.03
06/18/2024 00:00,2321.34,2332.63,2306.4,2328.06,672,0.29
06/17/2024 00:00,2327.74,2328.57,2309.73,2320.26,-748,-0.32
06/16/2024 00:00,2331.48,2331.48,2327,2328.57,-291,-0.12
06/14/2024 00:00,2302.72,2336.2,2301.5,2332.3,2958,1.27
06/13/2024 00:00,2319.97,2325.88,2295.9,2302.16,-1781,-0.77
06/12/2024 00:00,2314.9,2341.16,2310.88,2320.56,566,0.24
06/11/2024 00:00,2310,2319.75,2297.9,2314.76,476,0.21
06/10/2024 00:00,2298.34,2313.5,2287.74,2309.83,1149,0.5
06/09/2024 00:00,2295.35,2299.55,2290.73,2298.46,311,0.14
06/07/2024 00:00,2376.64,2387.49,2286,2293.51,-8313,-3.62
06/06/2024 00:00,2355.26,2378.17,2353.92,2376.64,2138,0.9
06/05/2024 00:00,2328.86,2357.23,2325.84,2355,2614,1.11
06/04/2024 00:00,2350.55,2352.32,2316.02,2328.56,-2199,-0.94
06/03/2024 00:00,2326.04,2354.29,2314.85,2350.48,2444,1.04
06/02/2024 00:00,2328.8,2329.38,2323.3,2325.83,-297,-0.13
05/31/2024 00:00,2343.23,2359.33,2320.38,2325.76,-1747,-0.75
05/30/2024 00:00,2338.11,2350.99,2322.58,2343.72,561,0.24
05/29/2024 00:00,2359.59,2361.03,2334.8,2338.6,-2099,-0.9
05/28/2024 00:00,2352.35,2363.41,2339.9,2359.88,753,0.32
05/27/2024 00:00,2336.93,2358.25,2334.54,2352.13,1520,0.65
05/26/2024 00:00,2335.36,2340.24,2333.36,2336.95,159,0.07
05/24/2024 00:00,2331.81,2347.08,2325.44,2333.04,123,0.05
05/23/2024 00:00,2382.21,2383.53,2327.33,2331.82,-5039,-2.16
05/22/2024 00:00,2421.81,2426.13,2374.99,2382,-3981,-1.67
05/21/2024 00:00,2425.75,2433.48,2406.89,2421.55,-420,-0.17
05/20/2024 00:00,2419.44,2449.93,2409.62,2426.21,677,0.28
05/19/2024 00:00,2418.89,2420.3,2416.4,2420.3,141,0.06
05/17/2024 00:00,2378.18,2421.85,2373.6,2414.02,3584,1.48
05/16/2024 00:00,2391.8,2397.26,2370.77,2377.82,-1398,-0.59
05/15/2024 00:00,2355.83,2391.87,2351.84,2391.8,3597,1.5
05/14/2024 00:00,2338.34,2359.68,2334.81,2355.82,1748,0.74
05/13/2024 00:00,2360.38,2364.46,2332.09,2338.43,-2195,-0.94
05/12/2024 00:00,2362.59,2363.05,2359.68,2360.34,-225,-0.1
05/10/2024 00:00,2346.76,2378.32,2346.03,2360.82,1406,0.6
05/09/2024 00:00,2308.72,2348.38,2306.86,2346.53,3781,1.61
05/08/2024 00:00,2315.21,2321.44,2303.77,2308.81,-640,-0.28
05/07/2024 00:00,2327.86,2329.72,2310.08,2315.11,-1275,-0.55
05/06/2024 00:00,2293.74,2331.82,2292.13,2325.64,3190,1.37
05/05/2024 00:00,2302.03,2302.7,2292.9,2293.96,-807,-0.35
05/03/2024 00:00,2304.26,2319.52,2278.5,2301.93,-233,-0.1
05/02/2024 00:00,2324.49,2324.92,2285.63,2303.63,-2086,-0.91
05/01/2024 00:00,2291.98,2327.31,2283.2,2320.41,2843,1.23
04/30/2024 00:00,2333.01,2335.81,2285.26,2289.83,-4318,-1.89
04/29/2024 00:00,2336.56,2346.24,2322.31,2333.06,-350,-0.15
04/28/2024 00:00,2338.42,2338.42,2333.7,2335.82,-260,-0.11
04/26/2024 00:00,2330.7,2351.93,2326.42,2337.48,678,0.29
04/25/2024 00:00,2316.28,2344.47,2307.6,2330.65,1437,0.62
04/24/2024 00:00,2323.32,2336.63,2311.5,2316.3,-702,-0.3
04/23/2024 00:00,2333.17,2334.11,2291.81,2323.58,-959,-0.41
04/22/2024 00:00,2386.84,2386.84,2325.22,2333.39,-5345,-2.29
04/21/2024 00:00,2384.19,2388.39,2381.2,2386.54,235,0.1
04/19/2024 00:00,2379.59,2417.22,2372.99,2390.01,1042,0.44
04/18/2024 00:00,2368.53,2392.23,2364.44,2379.93,1140,0.48
04/17/2024 00:00,2382.89,2395.27,2358.51,2367.66,-1523,-0.64
04/16/2024 00:00,2381.1,2397.75,2362.28,2382.85,175,0.07
04/15/2024 00:00,2363.77,2391.86,2325.16,2381.81,1804,0.76
04/14/2024 00:00,2361.3,2371.16,2347.94,2364.61,331,0.14
04/12/2024 00:00,2375.81,2430.7,2334.59,2343.65,-3216,-1.37
04/11/2024 00:00,2335.39,2378.63,2325.2,2376.77,4138,1.74
04/10/2024 00:00,2354.75,2359.9,2319.87,2335.1,-1965,-0.84
04/09/2024 00:00,2338.96,2365.04,2338.05,2354.75,1579,0.67
04/08/2024 00:00,2312.03,2350.28,2303.47,2338.63,2660,1.14
04/07/2024 00:00,2320.99,2326.94,2305.6,2311.11,-988,-0.43
04/05/2024 00:00,2289.04,2330.13,2267.98,2329.57,4053,1.74
04/04/2024 00:00,2297.34,2305.03,2280.98,2288.92,-842,-0.37
04/03/2024 00:00,2279.73,2302.27,2266.01,2297.67,1794,0.78
04/02/2024 00:00,2248.57,2287.66,2246.5,2279.97,3140,1.38
04/01/2024 00:00,2244.75,2265.37,2228.57,2248.96,421,0.19
03/28/2024 00:00,2190.97,2233.81,2187,2231.91,4094,1.83
03/27/2024 00:00,2179.5,2197.32,2173.67,2190.55,1105,0.5
03/26/2024 00:00,2172.71,2199.64,2167.7,2179.61,690,0.32
03/25/2024 00:00,2168.42,2181.01,2163.9,2172.99,457,0.21
03/22/2024 00:00,2181.67,2185.85,2157.35,2165.13,-1654,-0.76
03/21/2024 00:00,2203.88,2211.57,2166.32,2181.69,-2219,-1.02
03/20/2024 00:00,2157.11,2222.06,2149.66,2203.89,4678,2.12
03/19/2024 00:00,2162.27,2162.77,2147.12,2157.06,-521,-0.24
03/18/2024 00:00,2156.5,2163.49,2145.3,2161.86,536,0.25
03/15/2024 00:00,2161.56,2172.44,2155.54,2155.78,-578,-0.27
